Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Sampling Start,Sampling End,State,District,Location,Geo_Type,Resolution,Lat_1,Lon_1,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Lat_9,Lon_9,Lat_10,Lon_10,Lat_11,Lon_11,Lat_12,Lon_12,Sources,,,,,,,,,,
59,11,12,"Studies on malaria transmission in Orissa State, India 1981 through 1986. II: Observations on the Anopheles fauna.",Collins,1990,1983,1986,Orissa,Various,"Sambalpur, Mayurbhanj and Phulbani Districts",Polygon,Constructed,20.5453,84.3966,20.7218,84.1842,20.6433,84.5045,20.6139,84.2953,21.3231,84.6614,21.4015,84.5241,21.163,84.462,21.1368,84.328,21.5584,86.413,21.7218,86.4784,21.725,86.3509,21.5976,86.2529,Malaria Atlas Project,,,,,,,,,,
60,12,13,"Density patterns of anophelines and their relation to malaria in Bastar district, Madhya Pradesh.",Kulkarni,1990,1980,1981,Madhya Pradesh,Bastar,Various,Polygon,Constructed,18.8595,81.8521,19.0212,81.8734,19.2045,81.9247,19.2723,82.0215,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Darbha,+Chhattisgarh+494001,+India/@18.8595792,81.8521703,14z/data=!3m1!4b1!4m5!3m4!1s0x3a30682ce2ce91d3:0x5f4bd79583cd815b!8m2!3d18.8586166!4d81.8688751","https://www.google.co.uk/maps/place/Tokapal,+Chhattisgarh+494442,+India/@19.0212242,81.8734104,14z/data=!3m1!4b1!4m5!3m4!1s0x3a30153779a9ca13:0x892296a2cb5a860f!8m2!3d19.0190646!4d81.8961782","https://www.google.co.uk/maps/place/Bastar,+Chhattisgarh+494223,+India/@19.2045405,81.9247269,15z/data=!3m1!4b1!4m5!3m4!1s0x3a30175f8de4577d:0x1be335329e03552f!8m2!3d19.2036769!4d81.9343855",https://www.veethi.com/places/Kumrawand-map-429353.htm,,,,,,,
61,13,14,"Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa.",Das,1990,1988,1989,Orissa,Koraput,Various,Polygon,Constructed,19.0626,82.6564,19.0346,82.6213,19.1116,82.5821,19.1116,82.5821,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Koraput/Borigumma/Semlaguda,http://www.onefivenine.com/india/villages/Koraput/Borigumma/Benasur,http://www.onefivenine.com/india/villages/Koraput/Borigumma/B.Singpur,http://www.onefivenine.com/india/villages/Koraput/Borigumma/Champapadar,,,,,,,
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,1989,1989,Gujarat,Kheda,Various,Polygon,Constructed,22.7554,72.9859,22.7755,72.8663,22.6961,73.0309,22.8206,72.8219,22.6624,73.254,22.6985,72.7954,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kheda/Mahudha/Sanali,http://www.onefivenine.com/india/villages/Kheda/Mahudha/Sapla,http://www.onefivenine.com/india/villages/Anand/Umreth/Pansora,http://www.onefivenine.com/india/villages/Kheda/Mehmedabad/Wanthvali,http://www.onefivenine.com/india/villages/Kheda/Thasra/Raniya,http://www.onefivenine.com/india/villages/Kheda/Nadiad/Davda,,,,,
74,15,16,"Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam.",Dutta,1991,1988,1988,Assam,Dibrugarh,Tengkahat PHC,Single,Large Polygon,27.383,95.167,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
75,16,17,"Bionomics of Anopheles culicifacies giles in riverine tract rural areas of district Shahjahanpur, Uttar Pradesh.",Sharma,1991,1987,1989,Uttar Pradesh,Shahjahanpur,Dadraul PHC,Single,Large Polygon,27.816,79.911,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
76,17,18,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,1985,1988,Gujarat,Kheda,Various,Polygon,Constructed,22.729,72.76,22.686,72.756,22.599,72.857,22.597,72.921,22.635,72.927,22.675,73.028,22.703,73.031,22.748,72.931,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
76,17,19,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,1985,1988,Gujarat,Kheda,Various,Polygon,Constructed,22.747,72.797,22.744,72.867,22.772,72.931,22.724,73.047,22.798,73.055,22.827,73.035,22.847,73.073,22.871,72.938,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
76,17,20,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,1985,1988,Gujarat,Kheda,Various,Polygon,Constructed,22.847,73.004,22.81,73.017,22.775,72.957,22.748,72.992,22.717,73.03,22.754,72.931,22.722,72.819,22.747,72.817,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
91,18,21,Critical appraisal of entomological data of Madhya Pradesh for 1991 and its relevance to the National Malaria Eradication Programme.,Saxena ,1992,1991,1991,Madhya Pradesh,Various,Various,Polygon,Constructed,25.669,78.455,25.424,77.652,26.565,78.782,26.503,77.994,24.644,77.31,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
